country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-06-20,285.90613,171,444.8811524275523,274,0.6158948260785675,19159
Spain,ESP,2022-06-21,285.90613,172,444.1562860436851,282,0.6349116490321693,19128
Spain,ESP,2022-06-22,285.90613,173,442.9493981017275,290,0.6547023232062249,19076
Spain,ESP,2022-06-23,285.90613,174,445.2598790114405,301,0.6760097062153362,19175
Spain,ESP,2022-06-24,285.90613,175,454.51593159138304,313,0.6886447278186761,19574
Spain,ESP,2022-06-25,285.90613,176,472.3189271744847,327,0.6923288083248869,20341
Spain,ESP,2022-06-26,386.78467,177,497.75230403867283,342,0.6870887331411093,21436
Spain,ESP,2022-06-27,386.78467,178,527.787242824655,356,0.6745142192045607,22729
Spain,ESP,2022-06-28,386.78467,179,558.6339931629315,367,0.6569596631993009,24058
Spain,ESP,2022-06-29,386.78467,180,587.1643981442602,375,0.6386627002338559,25286
Spain,ESP,2022-06-30,386.78467,181,611.6154897376457,380,0.6213053893762601,26339
